"type","subtype","cert","date.documented","onset","terminus","publication.id","publication.title","publication.loc.id","publication.loc"
"censorship","S","high","1891-07-08","","","oape:349","Lisān al-Ḥāl","geon:276781","Beirut"
"censorship","PR","","1891-10-26","","","oape:349","Lisān al-Ḥāl","geon:276781","Beirut"
"censorship","W","","1894-04-23","","","oape:349","Lisān al-Ḥāl","geon:276781","Beirut"
"censorship","S","","1895-01-19","","","oape:349","Lisān al-Ḥāl","geon:276781","Beirut"
"censorship","W","","1898-08-04","","","oape:349","Lisān al-Ḥāl","geon:276781","Beirut"
"censorship","W","","1900-10-27","","","oape:349","Lisān al-Ḥāl","geon:276781","Beirut"
"censorship","W","","1901-04-22","","","oape:349","Lisān al-Ḥāl","geon:276781","Beirut"
"censorship","W","","1901-11-29","","","oape:349","Lisān al-Ḥāl","geon:276781","Beirut"
"censorship","S","","1901-12-03","","","oape:349","Lisān al-Ḥāl","geon:276781","Beirut"
"censorship","W","","1903-01-22","","","oape:349","Lisān al-Ḥāl","geon:276781","Beirut"
"censorship","S","high","1903-11-01","1903-11-06","1903-11-15","oape:349","Lisān al-Ḥāl","geon:276781","Beirut"
"censorship","S","high","1905-05-30","1904-12-23","1905-09-01","oape:349","Lisān al-Ḥāl","geon:276781","Beirut"
"censorship","Raid","","1909-09-04","","","oape:349","Lisān al-Ḥāl","geon:276781","Beirut"
"censorship","Trial","","1909-12-31","","","oape:349","Lisān al-Ḥāl","geon:276781","Beirut"
"lifeCycle","CP","","1914-09-11","","","oape:349","Lisān al-Ḥāl","geon:276781","Beirut"
"censorship","PR","","1895-03-18","","","oclc:792755292","Lubnān","geon:276781","Beirut"
"censorship","S","","1911-10-21","","","NA","Lātūrkī","NA","NA"
"censorship","P","","1900-01-02","","","oape:1205","Makārim al-Akhlāq al-Islāmiyya","geon:360630","Cairo"
"censorship","BI","","1909-11-20","","","NA","Mashrūṭiyāt","NA","NA"
"censorship","P","","1907-11-23","","","oape:1726","Mawārid al-Ḥikma","geon:170654","Damascus"
"censorship","P","","1908-08-13","","","oape:1726","Mawārid al-Ḥikma","geon:170654","Damascus"
"censorship","P","","1886-10-25","","","oape:752","Mirʾāt al-Akhlāq","geon:170654","Damascus"
"censorship","BI","","","","","oape:578","Mirʾāt al-Aḥwāl","geon:745044","Istanbul"
"lifeCycle","1","","1879-03-10","","","oape:3712","Mirʾāt al-Sharq","geon:360630","Cairo"
"censorship","P","","1910-08-16","","","oape:1802","Miṣbāḥ al-Sharq","geon:98182","Baghdad"
"censorship","P","","1909-08-02","","","oape:1711","Murshid al-Umma","geon:2464470","Tunis"
"censorship","PR","","1914-04-06","","","oape:2179","Nahr al-ʿĀṣī","geon:170017","Hama"
"censorship","BI","","1909-06-28","","","NA","Nahḍa al-ʿArab","NA","NA"
"censorship","P","","1900-05-28","","","oclc:777083173","Nūr al-Islām","geon:359493","Zagazig"
"censorship","S","","1899-12-02","","","oape:3319","Rawḍat al-Maʿārif","geon:276781","Beirut"
"censorship","P","","","","","oape:492","Rawḍat al-Maʿārif","geon:276781","Beirut"
"censorship","P","","1890-07-21","","","oape:1555","Rawḍat al-Shām","geon:170654","Damascus"
"censorship","P","","1909-01-02","","","NA","Rawḍat al-Ṣaḥḥa","NA","NA"
"censorship","P","","1888-04-11","","","NA","Riyāḥāt al-Afkār","NA","NA"
"censorship","P","","1900-02-16","","","NA","Ruġbet","NA","NA"
"censorship","P","","1890-05-30","","","NA","Ruḥta al-Shām","NA","NA"
"lifeCycle","1","","1900-07-16","","","NA","Rāyat Ṣahiyūn","NA","NA"
"censorship","S","","1890-04-30","","","oape:815","Rūḥān al-Shām","geon:170654","Damascus"
"lifeCycle","1","","1911-04-20","","","oape:1872","Sayf al-Ḥaqq","geon:98182","Baghdad"
"censorship","BI","","1909-08-30","","","NA","Ser Basti","NA","NA"
"censorship","S","","1911-10-28","","","NA","Shahrāʾ","NA","NA"
"censorship","BI","","1911-04-29","","","NA","Shams","NA","NA"
"lifeCycle","1","","1910-08-03","","","oape:1799","al-Shams al-Ittiḥād","geon:266826","Tripoli"
"censorship","S","","1912-08-08","","","NA","Silāḥ","NA","NA"
"censorship","W","","1904-02-15","","","NA","Some newspapers","NA","NA"
"censorship","BI","","1890-03-12","","","NA","Sur Hintak","NA","NA"
"censorship","P","","1875-04-20","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"lifeCycle","Gap","","1877-10-11","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","Gap","","","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","W","","1883-02-19","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","W","","1887-07-18","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","W","","1889-09-23","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","W","","","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","Gap","","1892-08-15","1892-06-28","1892-08-14","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","W","","1894-04-23","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","W","","1894-05-15","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","S","","1896-10-28","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","W","","1899-06-07","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","W","","1901-01-02","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","BI","","1901-02-18","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","S","high","1901-12-03","","1901-12-15","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","S","","1903-04-07","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","W","","1904-04-18","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","S","high","1904-09-15","","1904-10-30","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","PR","","1904-11-07","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","S","high","1904-11-14","1904-11-15","1905-02-26","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","PR","","1905-02-27","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"lifeCycle","CP","","1908-11-09","","","oclc:792755216","Thamarāt al-Funūn","geon:276781","Beirut"
"censorship","P","","1888-03-26","","","NA","Unknown paper","NA","NA"
"censorship","P","","1878-11-26","","","NA","Unknown paper and press","NA","NA"
"censorship","W","","1882-07-18","","","NA","a number / all newspapers","NA","NA"
"censorship","W","","1884-01-03","","","NA","a number / all newspapers","NA","NA"
"censorship","BI","","1877-11-22","","","oclc:508226561","al-Ahrām","geon:361058","Alexandria"
"censorship","BI","","1877-12-27","","","oclc:508226561","al-Ahrām","geon:361058","Alexandria"
"censorship","Trial","","1910-08-20","","","oape:1790","Lisān al-Ahālī","geon:170063","Aleppo"
"censorship","P","","1910-10-20","","","oape:1826","al-Anīs","geon:276781","Beirut"
"censorship","S","high","1898-04-29","","","oape:82","al-Arz","geon:8041193","Jounieh"
"censorship","PR","","1898-06-06","","","oape:82","al-Arz","geon:8041193","Jounieh"
"lifeCycle","1","","1909-06-02","","","oape:1703","al-Ayyām","geon:276781","Beirut"
"censorship","S","","1894-01-15","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","W","","1894-04-26","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","S","","1895-01-19","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","S","high","1897-06-03","1897-06-04","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","PR","","1897-06-05","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","W","","1898-08-04","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","W","","1900-03-16","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","W","","1900-05-24","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","S","high","1900-07-14","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","PR","","1900-07-21","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","W","","1900-10-27","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","S","","1901-05-25","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","W","","1901-11-29","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","S","","1901-12-03","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","S","","1902-01-18","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","S","high","1904-10-01","1904-11-15","1904-12-16","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","PR","","1904-12-14","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","Trial","","1910-09-24","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"censorship","S","high","1910-09-26","","","oape:79","al-Aḥwāl","geon:276781","Beirut"
"lifeCycle","1","","1911-07-03","","","oape:1892","al-Balāgh","geon:276781","Beirut"
"censorship","Trial","","1911-10-19","","","oape:1892","al-Balāgh","geon:276781","Beirut"
"censorship","P","","1908-12-07","","","NA","al-Band","NA","NA"
"censorship","S","","1876-06-01","","","oclc:472081984","al-Bashīr","geon:276781","Beirut"
"censorship","W","","1880-12-11","","","oclc:472081984","al-Bashīr","geon:276781","Beirut"
"censorship","W","","1881-09-12","","","oclc:472081984","al-Bashīr","geon:276781","Beirut"
"censorship","W","","1882-07-20","","","oclc:472081984","al-Bashīr","geon:276781","Beirut"
"censorship","W","","1884-09-04","","","oclc:472081984","al-Bashīr","geon:276781","Beirut"
"censorship","W","","1884-09-08","","","oclc:472081984","al-Bashīr","geon:276781","Beirut"
"censorship","W","","1888-03-29","","","oclc:472081984","al-Bashīr","geon:276781","Beirut"
"censorship","S","high","1889-05-20","1889-05-11","1889-06-08","oclc:472081984","al-Bashīr","geon:276781","Beirut"
"censorship","PR","","1890-04-07","","","oclc:472081984","al-Bashīr","geon:276781","Beirut"
"censorship","S","high","1892-10-06","","1892-11-08","oclc:472081984","al-Bashīr","geon:276781","Beirut"
"censorship","W","","1894-04-23","","","oclc:472081984","al-Bashīr","geon:276781","Beirut"
"censorship","W","","1898-08-04","","","oclc:472081984","al-Bashīr","geon:276781","Beirut"
"censorship","W","","1901-02-14","","","oclc:472081984","al-Bashīr","geon:276781","Beirut"
"censorship","S","","1901-12-03","","","oclc:472081984","al-Bashīr","geon:276781","Beirut"
"censorship","P","","1911-04-29","","","oape:1882","al-Bāriqa","geon:170654","Damascus"
"lifeCycle","1","","1911-04-29","","","oape:1882","al-Bāriqa","geon:170654","Damascus"
"censorship","Trial","","1910-06-26","","","NA","al-Bāshqīm","NA","NA"
"censorship","RP","","1913-12-01","","","oape:3470","al-Dustūr","geon:281184","Jerusalem"
"censorship","P","","1908-10-26","","","oape:3399","al-Dustūr","geon:745044","Istanbul"
"censorship","S","","1891-07-06","","","oape:697","al-Fallāḥ","geon:360630","Cairo"
"censorship","RP","","1912-09-28","","","oape:1983","al-Fatā al-ʿArabī","geon:276781","Beirut"
"censorship","S","high","1913-11-01","","","oape:1983","al-Fatā al-ʿArabī","geon:276781","Beirut"
"lifeCycle","1","","1910-04-15","","","oape:1396","al-Gharāʾib","geon:360630","Cairo"
"censorship","S","","1912-08-16","","","NA","al-Ghālib","NA","NA"
"censorship","RP","","1910-06-11","","","oape:1733","Hilāl ʿUthmānī","geon:170654","Damascus"
"censorship","S","","1912-08-15","","","oape:278","al-Hilāl al-ʿUthmānī","geon:745044","Istanbul"
"censorship","S","","1910-07-01","","","oape:1769","al-Intiqād","geon:745044","Istanbul"
"censorship","P","","1899-12-18","","","oclc:1086411815","al-Iqbāl","geon:276781","Beirut"
"censorship","S","high","1903-09-13","","","oclc:1086411815","al-Iqbāl","geon:276781","Beirut"
"censorship","S","high","1904-02-14","","","oclc:1086411815","al-Iqbāl","geon:276781","Beirut"
"censorship","PR","","1904-02-14","","","oclc:1086411815","al-Iqbāl","geon:276781","Beirut"
"censorship","Trial","","1909-10-07","","","oclc:1086411815","al-Iqbāl","geon:276781","Beirut"
"censorship","P","","1908-09-21","","","oclc:42900564","al-Ittiḥād al-ʿUthmānī","geon:276781","Beirut"
"censorship","Trial","","1909-12-31","","","oclc:42900564","al-Ittiḥād al-ʿUthmānī","geon:276781","Beirut"
"censorship","Trial","","1911-10-19","","","oclc:42900564","al-Ittiḥād al-ʿUthmānī","geon:276781","Beirut"
"censorship","S","","1914-01-01","","","oape:1978","al-Iʿtilāf al-ʿUthmānī","geon:276781","Beirut"
"lifeCycle","1","","1909-06-27","","","oape:1701","al-Iṣlāḥ al-Ḥijāzī","geon:105343","Jeddah"
"censorship","RP","","1875-10-05","","","oape:608","al-Janna","geon:276781","Beirut"
"censorship","S","","1879-03-24","","","oape:608","al-Janna","geon:276781","Beirut"
"censorship","S","","1881-09-19","","","oape:608","al-Janna","geon:276781","Beirut"
"censorship","W","","1881-09-19","","","oape:608","al-Janna","geon:276781","Beirut"
"censorship","W","","1881-12-19","","","oape:608","al-Janna","geon:276781","Beirut"
"censorship","S","","1882-07-19","","","oape:608","al-Janna","geon:276781","Beirut"
"censorship","S","high","1884-06-19","1884-06-03","1884-08-02","oape:608","al-Janna","geon:276781","Beirut"
"censorship","PR","","1884-11-17","","","oape:608","al-Janna","geon:276781","Beirut"
"censorship","W","","1885-09-17","","","oape:608","al-Janna","geon:276781","Beirut"
"censorship","S","high","1885-10-18","","","oape:608","al-Janna","geon:276781","Beirut"
"censorship","BI","","1911-04-29","","","NA","al-Jarīda al-Adabiyya","NA","NA"
"censorship","BI","","1878-07-11","","","oclc:695008193","al-Jawāʾib","geon:745044","Istanbul"
"censorship","PR","","1884-11-17","1884-09-16","1884-11-14","oclc:987291181","al-Jinān","geon:276781","Beirut"
"censorship","W","","1885-09-17","","","oclc:987291181","al-Jinān","geon:276781","Beirut"
"lifeCycle","1","","1910-03-18","","","oape:524","al-Laṭāʾif al-Ahliyya","geon:276781","Beirut"
"censorship","P","","1909-03-22","","","NA","al-Lubnāniyya","NA","NA"
"censorship","S","","","","","NA","al-Madīna","NA","NA"
"censorship","P","","1910-08-23","","","oape:526","al-Majalla al-Sūriyya","geon:276781","Beirut"
"lifeCycle","1","","1901-01-28","","","oape:1240","al-Majalla al-Ṣiḥḥiyya","geon:360630","Cairo"
"censorship","W","","1901-03-01","","","oape:3315","al-Manār","geon:173576","Latakia"
"censorship","P","","1914-05-29","","","oape:3472","al-Mirʾāt","geon:276781","Beirut"
"censorship","S","","1897-07-19","","","oape:1028","al-Maʿlūmāt","geon:745044","Istanbul"
"censorship","W","","1899-06-15","","","oclc:902810773","al-Maḥabba","geon:276781","Beirut"
"censorship","W","","1901-03-01","","","oclc:902810773","al-Maḥabba","geon:276781","Beirut"
"censorship","S","","1903-03-08","","","oclc:902810773","al-Maḥabba","geon:276781","Beirut"
"censorship","S","high","1907-12-03","","","oclc:902810773","al-Maḥabba","geon:276781","Beirut"
"censorship","PR","","1908-01-04","","","oclc:902810773","al-Maḥabba","geon:276781","Beirut"
"censorship","P","","1911-07-10","","","oape:1896","al-Muḥāmī","geon:266826","Tripoli"
"lifeCycle","1","","1909-02-01","","","oclc:1034548778","al-Mufīd","geon:276781","Beirut"
"censorship","Trial","","1910-09-26","","","oclc:1034548778","al-Mufīd","geon:276781","Beirut"
"censorship","S","high","1912-05-01","","","oclc:1034548778","al-Mufīd","geon:276781","Beirut"
"censorship","S","","1914-01-01","","","oclc:1034548778","al-Mufīd","geon:276781","Beirut"
"censorship","P","","1910-07-26","","","oape:3433","al-Muntakhabāt","geon:170654","Damascus"
"lifeCycle","1","","1910-09-07","","","oape:1809","al-Muntakhab","geon:173576","Latakia"
"censorship","P","","1908-11-26","","","oclc:70845599","al-Muqtabas","geon:170654","Damascus"
"lifeCycle","1","","1908-12-17","","","oclc:70845599","al-Muqtabas","geon:170654","Damascus"
"censorship","S","high","1909-09-17","","","oclc:70845599","al-Muqtabas","geon:170654","Damascus"
"censorship","RP","","1910-03-01","","","oclc:70845599","al-Muqtabas","geon:170654","Damascus"
"censorship","Trial","","1909-05-01","","","oclc:70845599","al-Muqtabas","geon:170654","Damascus"
"censorship","S","high","1912-04-16","1912-04-17","1912-08-08","oclc:70845599","al-Muqtabas","geon:170654","Damascus"
"censorship","RP","","1912-08-08","","","oclc:70845599","al-Muqtabas","geon:170654","Damascus"
"censorship","S","high","1913-09-25","","","oclc:70845599","al-Muqtabas","geon:170654","Damascus"
"censorship","Trial","","1913-10-22","","","oclc:70845599","al-Muqtabas","geon:170654","Damascus"
"censorship","RP","","1914-02-01","","","oclc:70845599","al-Muqtabas","geon:170654","Damascus"
"censorship","S","high","1914-04-15","","1915-02-11","oclc:70845599","al-Muqtabas","geon:170654","Damascus"
"censorship","RP","","1915-02-11","","","oclc:70845599","al-Muqtabas","geon:170654","Damascus"
"lifeCycle","CP","","1876-06-22","","","oclc:931941685","al-Muqtaṭaf","geon:276781","Beirut"
"censorship","RP","","1877-05-31","","","oclc:931941685","al-Muqtaṭaf","geon:276781","Beirut"
"censorship","W","","1884-09-08","","","oclc:931941685","al-Muqtaṭaf","geon:276781","Beirut"
"lifeCycle","1","","1908-12-28","","","oclc:1034549493","al-Murāqib","geon:276781","Beirut"
"censorship","Trial","","1897-07-12","","","oape:918","al-Mushīr","geon:361058","Alexandria"
"censorship","P","","1908-08-24","","","oape:1383","al-Musāwāt","geon:360630","Cairo"
"censorship","BI","","1910-08-27","","","oape:809","al-Muʾayyad","geon:360630","Cairo"
"censorship","PI","","1911-10-21","","","oape:809","al-Muʾayyad","geon:360630","Cairo"
"censorship","BI","","1913-03-05","","","oape:809","al-Muʾayyad","geon:360630","Cairo"
"lifeCycle","1","","1911-04-20","","","NA","al-Muḥayṭ","NA","NA"
"censorship","P","","1908-11-09","","","oape:3400","al-Nafāʾis","geon:294801","Haifa"
"censorship","Trial","","1910-08-20","","","oape:1370","al-Nafīr al-ʿUthmānī","geon:361058","Alexandria"
"censorship","Trial","","1910-03-29","","","oape:2590","al-Nafīr","geon:360630","Cairo"
"censorship","S","high","1890-01-15","","1890-09-01","oclc:792755092","al-Nashra al-Usbūʿiyya","geon:276781","Beirut"
"censorship","PR","high","1890-09-15","","1890-09-01","oclc:792755092","al-Nashra al-Usbūʿiyya","geon:276781","Beirut"
"censorship","Trial","","1911-05-30","","","oape:272","al-Naṣīr","geon:276781","Beirut"
"censorship","P","","1909-07-17","","","NA","al-Nāqid al-Sūrī","NA","NA"
"censorship","RP","","1913-09-30","","","oclc:792756309","al-Qabas","geon:170654","Damascus"
"censorship","P","","1908-08-24","","","NA","al-Qusṭān","NA","NA"
"censorship","RP","","1895-08-25","","","oape:2685","al-Qāhira","geon:347497","Tanta"
"censorship","Trial","","1911-10-19","","","NA","al-Rafāʾīl al-Faransawiyya","NA","NA"
"censorship","P","","1909-03-22","","","oape:2766","al-Rafīq","geon:3530597","Mexico City"
"censorship","P","","1908-11-09","","","NA","al-Rawḍat al-Shām","NA","NA"
"lifeCycle","1","","1910-03-31","","","oape:40","al-Raʾī al-ʿĀmm","geon:276781","Beirut"
